,,Name,Date,Likes,Comment,"Profile ID","Comment ID","Profile URL","Comment URL"
1,,junioorgarciajt,49726927819,"2023-05-30 19:40:25",0,"Que show 👏",49726927819,18123511390305693,https://www.instagram.com/junioorgarciajt/,https://www.instagram.com/p/CsyMzmwO5-p/c/18123511390305693
2,,junioorgarciajt,49726927819,"2023-05-30 19:40:27",0,👏👏,49726927819,18370195903038044,https://www.instagram.com/junioorgarciajt/,https://www.instagram.com/p/CsyMzmwO5-p/c/18370195903038044
3,,ribeiromoota,54271549625,"2023-05-30 19:45:42",0,👏👏👏,54271549625,18285193126187942,https://www.instagram.com/ribeiromoota/,https://www.instagram.com/p/CsyMzmwO5-p/c/18285193126187942
4,,taci_anaa_,48585777689,"2023-05-30 19:55:38",0,"Guarda chuva lindo 🌂✨",48585777689,17980450169483469,https://www.instagram.com/taci_anaa_/,https://www.instagram.com/p/CsyMzmwO5-p/c/17980450169483469
5,,ingredytavarees,48872950996,"2023-05-30 20:27:21",0,"Adorei as cores lindas 😍",48872950996,18224110879169442,https://www.instagram.com/ingredytavarees/,https://www.instagram.com/p/CsyMzmwO5-p/c/18224110879169442
6,,ingredytavarees,48872950996,"2023-05-30 20:27:30",0,😍😍😍😍,48872950996,17985344600303285,https://www.instagram.com/ingredytavarees/,https://www.instagram.com/p/CsyMzmwO5-p/c/17985344600303285
7,,pedroolucc_a,54627229121,"2023-05-31 00:04:50",0,"Bacana demais 👏",54627229121,17977592570203434,https://www.instagram.com/pedroolucc_a/,https://www.instagram.com/p/CsyMzmwO5-p/c/17977592570203434
8,,pedroolucc_a,54627229121,"2023-05-31 00:04:52",0,👏👏,54627229121,17886602786790868,https://www.instagram.com/pedroolucc_a/,https://www.instagram.com/p/CsyMzmwO5-p/c/17886602786790868
9,,juliapereiradaff,54505977796,"2023-05-31 00:16:11",0,Valor?,54505977796,17842931232001963,https://www.instagram.com/juliapereiradaff/,https://www.instagram.com/p/CsyMzmwO5-p/c/17842931232001963
10,,juliapereiradaff,54505977796,"2023-05-31 00:16:14",0,Lindoooo,54505977796,17869621022916425,https://www.instagram.com/juliapereiradaff/,https://www.instagram.com/p/CsyMzmwO5-p/c/17869621022916425
11,,jackeelyni,54845605163,"2023-05-31 01:19:24",0,"Queroooo esse guarda chuva 😍",54845605163,18249432607091675,https://www.instagram.com/jackeelyni/,https://www.instagram.com/p/CsyMzmwO5-p/c/18249432607091675
12,,jackeelyni,54845605163,"2023-05-31 01:19:27",0,😍😍😍😍,54845605163,18006168661650482,https://www.instagram.com/jackeelyni/,https://www.instagram.com/p/CsyMzmwO5-p/c/18006168661650482
13,,nathyicristina,54487225819,"2023-05-31 01:23:51",0,"Gostei e perfeito adorei as cores 😍",54487225819,17987970803084658,https://www.instagram.com/nathyicristina/,https://www.instagram.com/p/CsyMzmwO5-p/c/17987970803084658
14,,nathyicristina,54487225819,"2023-05-31 01:23:53",0,👏👏,54487225819,18000611500856420,https://www.instagram.com/nathyicristina/,https://www.instagram.com/p/CsyMzmwO5-p/c/18000611500856420
15,,luciiannacamargo,54331676534,"2023-05-31 01:25:31",0,Lindos,54331676534,18192729157249820,https://www.instagram.com/luciiannacamargo/,https://www.instagram.com/p/CsyMzmwO5-p/c/18192729157249820
16,,luciiannacamargo,54331676534,"2023-05-31 01:25:33",0,👏👏,54331676534,18085969315353069,https://www.instagram.com/luciiannacamargo/,https://www.instagram.com/p/CsyMzmwO5-p/c/18085969315353069
17,,palomadelfor,54512824865,"2023-05-31 01:26:15",0,"E lindo lindo 👏",54512824865,17850679715986136,https://www.instagram.com/palomadelfor/,https://www.instagram.com/p/CsyMzmwO5-p/c/17850679715986136
18,,palomadelfor,54512824865,"2023-05-31 01:26:18",0,☔🌂☔,54512824865,17975491487337489,https://www.instagram.com/palomadelfor/,https://www.instagram.com/p/CsyMzmwO5-p/c/17975491487337489
19,,hyngredstin,570089818,"2023-05-31 01:50:50",0,"Esse guarda chuva ☔️ e lindo.",570089818,18366047410044392,https://www.instagram.com/hyngredstin/,https://www.instagram.com/p/CsyMzmwO5-p/c/18366047410044392
20,,hyngredstin,570089818,"2023-05-31 01:50:54",0,☔️🫶🏻,570089818,18189784693248139,https://www.instagram.com/hyngredstin/,https://www.instagram.com/p/CsyMzmwO5-p/c/18189784693248139
21,,vendoguardachuva,4014331343,"2023-05-31 12:08:58",0,"@juliapereiradaff Vou lhe encaminhar por direct! <3",4014331343,17967959522256544,https://www.instagram.com/vendoguardachuva/,https://www.instagram.com/p/CsyMzmwO5-p/c/17967959522256544
