,,Name,Date,Likes,Comment,"Profile ID","Comment ID","Profile URL","Comment URL"
1,,bruunaviaana,54058730350,"2023-05-29 20:22:02",0,"Coleção incrível",54058730350,17983015097317218,https://www.instagram.com/bruunaviaana/,https://www.instagram.com/p/CswuuzFLDdp/c/17983015097317218
2,,bruunaviaana,54058730350,"2023-05-29 20:22:03",0,❤️❤️,54058730350,17877630275875779,https://www.instagram.com/bruunaviaana/,https://www.instagram.com/p/CswuuzFLDdp/c/17877630275875779
3,,ezabelapimentaflor,53771324981,"2023-05-29 20:24:49",0,"Amei a cor ❤️",53771324981,17966463458296205,https://www.instagram.com/ezabelapimentaflor/,https://www.instagram.com/p/CswuuzFLDdp/c/17966463458296205
4,,ezabelapimentaflor,53771324981,"2023-05-29 20:24:59",0,🥰🥰,53771324981,17995725247934139,https://www.instagram.com/ezabelapimentaflor/,https://www.instagram.com/p/CswuuzFLDdp/c/17995725247934139
5,,danieeljuni,49139884314,"2023-05-29 20:28:53",0,"Top demais",49139884314,17989143530064647,https://www.instagram.com/danieeljuni/,https://www.instagram.com/p/CswuuzFLDdp/c/17989143530064647
6,,danieeljuni,49139884314,"2023-05-29 20:28:53",0,👏👏,49139884314,17964445385314822,https://www.instagram.com/danieeljuni/,https://www.instagram.com/p/CswuuzFLDdp/c/17964445385314822
7,,talitatorres__,48528405369,"2023-05-29 22:19:04",0,"Já vou garantir o meu",48528405369,17900546378730395,https://www.instagram.com/talitatorres__/,https://www.instagram.com/p/CswuuzFLDdp/c/17900546378730395
8,,talitatorres__,48528405369,"2023-05-29 22:19:05",0,😍😍,48528405369,17991092998991670,https://www.instagram.com/talitatorres__/,https://www.instagram.com/p/CswuuzFLDdp/c/17991092998991670
9,,lucianamaya_,48584545806,"2023-05-29 22:22:19",0,"Encantada com esses guarda chuva 🥰",48584545806,17973813818359208,https://www.instagram.com/lucianamaya_/,https://www.instagram.com/p/CswuuzFLDdp/c/17973813818359208
10,,lucianamaya_,48584545806,"2023-05-29 22:22:24",0,🔥👏,48584545806,17991201076989063,https://www.instagram.com/lucianamaya_/,https://www.instagram.com/p/CswuuzFLDdp/c/17991201076989063
11,,patricyaa_lu,53890944433,"2023-05-29 22:28:17",0,"Guarda chuva perfeito 😍",53890944433,18005094901699029,https://www.instagram.com/patricyaa_lu/,https://www.instagram.com/p/CswuuzFLDdp/c/18005094901699029
12,,patricyaa_lu,53890944433,"2023-05-29 22:28:19",0,❤️👏👏,53890944433,17850232493964655,https://www.instagram.com/patricyaa_lu/,https://www.instagram.com/p/CswuuzFLDdp/c/17850232493964655
13,,lucasalvezj,49554679910,"2023-05-29 22:31:01",0,"Guarda chuva show de bola",49554679910,17871223379913896,https://www.instagram.com/lucasalvezj/,https://www.instagram.com/p/CswuuzFLDdp/c/17871223379913896
14,,lucasalvezj,49554679910,"2023-05-29 22:31:03",0,👏👏,49554679910,18011281000719810,https://www.instagram.com/lucasalvezj/,https://www.instagram.com/p/CswuuzFLDdp/c/18011281000719810
15,,juliaa_bezzerra,49055194485,"2023-05-29 22:35:50",0,"Os melhores artigos de chuva 👏",49055194485,17989124141062702,https://www.instagram.com/juliaa_bezzerra/,https://www.instagram.com/p/CswuuzFLDdp/c/17989124141062702
