,,Name,Date,Likes,Comment,"Profile ID","Comment ID","Profile URL","Comment URL"
1,,jullya_ly,48541622498,"2023-05-25 22:18:03",0,"Dicas ótimas amei 👏🏼☔️",48541622498,17978560418236683,https://www.instagram.com/jullya_ly/,https://www.instagram.com/p/CsqzIyHLCRV/c/17978560418236683
2,,jullya_ly,48541622498,"2023-05-25 22:18:05",0,😍😍,48541622498,17983410307986234,https://www.instagram.com/jullya_ly/,https://www.instagram.com/p/CsqzIyHLCRV/c/17983410307986234
3,,martasousaa._,47926298881,"2023-05-25 22:19:05",0,"Perfeitas dicas com certeza amei 😍",47926298881,18000810700803288,https://www.instagram.com/martasousaa._/,https://www.instagram.com/p/CsqzIyHLCRV/c/18000810700803288
4,,martasousaa._,47926298881,"2023-05-25 22:19:08",0,"Demais ❤️",47926298881,17998868980854654,https://www.instagram.com/martasousaa._/,https://www.instagram.com/p/CsqzIyHLCRV/c/17998868980854654
5,,victoria.thomaz,1265380288,"2023-05-25 22:43:14",0,"Que conteúdo ótimo 😍",1265380288,18053007202424054,https://www.instagram.com/victoria.thomaz/,https://www.instagram.com/p/CsqzIyHLCRV/c/18053007202424054
6,,natyysilveira_,6247758633,"2023-05-25 23:26:56",0,👏👏👏,6247758633,17916918116716348,https://www.instagram.com/natyysilveira_/,https://www.instagram.com/p/CsqzIyHLCRV/c/17916918116716348
7,,rafa_vasconcellos_,1144457697,"2023-05-25 23:29:23",0,"Eu nem imaginava ❤️ Ameiii 😍",1144457697,17990000386982248,https://www.instagram.com/rafa_vasconcellos_/,https://www.instagram.com/p/CsqzIyHLCRV/c/17990000386982248
8,,katyanii__,54173522073,"2023-05-26 00:14:43",0,"Super bacana demais 👏❤️",54173522073,17991007414865679,https://www.instagram.com/katyanii__/,https://www.instagram.com/p/CsqzIyHLCRV/c/17991007414865679
9,,katyanii__,54173522073,"2023-05-26 00:14:44",0,👏👏,54173522073,17994492022803744,https://www.instagram.com/katyanii__/,https://www.instagram.com/p/CsqzIyHLCRV/c/17994492022803744
10,,jackeelyni,54845605163,"2023-05-26 00:17:10",0,"Dica linda 😍",54845605163,18335579407073045,https://www.instagram.com/jackeelyni/,https://www.instagram.com/p/CsqzIyHLCRV/c/18335579407073045
11,,luciiannacamargo,54331676534,"2023-05-26 00:38:32",0,"Qualidades amo os produtos 👏",54331676534,17902844897717931,https://www.instagram.com/luciiannacamargo/,https://www.instagram.com/p/CsqzIyHLCRV/c/17902844897717931
12,,luciiannacamargo,54331676534,"2023-05-26 00:38:33",0,👏👏,54331676534,18211351633220122,https://www.instagram.com/luciiannacamargo/,https://www.instagram.com/p/CsqzIyHLCRV/c/18211351633220122
13,,palomadelfor,54512824865,"2023-05-26 00:52:45",0,"Nossa bem interessante gostei de saber ❤️",54512824865,18022357129557117,https://www.instagram.com/palomadelfor/,https://www.instagram.com/p/CsqzIyHLCRV/c/18022357129557117
14,,palomadelfor,54512824865,"2023-05-26 00:53:20",0,👏👏👏,54512824865,18179579551284284,https://www.instagram.com/palomadelfor/,https://www.instagram.com/p/CsqzIyHLCRV/c/18179579551284284
15,,selmathais2,54101004673,"2023-05-26 01:17:53",0,"Demais bem legal adorei essa dica. 😍😍",54101004673,17994425692906614,https://www.instagram.com/selmathais2/,https://www.instagram.com/p/CsqzIyHLCRV/c/17994425692906614
16,,selmathais2,54101004673,"2023-05-26 01:17:56",0,🥰🥰🥰🥰,54101004673,18001147522721991,https://www.instagram.com/selmathais2/,https://www.instagram.com/p/CsqzIyHLCRV/c/18001147522721991
17,,cintiyacarvalho,53956961248,"2023-05-26 01:22:36",0,"Bacana gostei 👏",53956961248,18082253365355678,https://www.instagram.com/cintiyacarvalho/,https://www.instagram.com/p/CsqzIyHLCRV/c/18082253365355678
18,,cintiyacarvalho,53956961248,"2023-05-26 01:22:37",0,👏👏,53956961248,18030394741502413,https://www.instagram.com/cintiyacarvalho/,https://www.instagram.com/p/CsqzIyHLCRV/c/18030394741502413
19,,suzanavasga,55498118957,"2023-05-26 01:41:44",0,"Dica perfeita né amo 😍",55498118957,17854389701970668,https://www.instagram.com/suzanavasga/,https://www.instagram.com/p/CsqzIyHLCRV/c/17854389701970668
20,,suzanavasga,55498118957,"2023-05-26 01:41:45",0,👏👏👏,55498118957,17998973221868901,https://www.instagram.com/suzanavasga/,https://www.instagram.com/p/CsqzIyHLCRV/c/17998973221868901
21,,dra.julietenunes,55614708508,"2023-05-26 01:43:26",0,"Eu adorei as dicas",55614708508,18097799839325872,https://www.instagram.com/dra.julietenunes/,https://www.instagram.com/p/CsqzIyHLCRV/c/18097799839325872
22,,dra.julietenunes,55614708508,"2023-05-26 01:43:28",0,👏👏,55614708508,17880725174812205,https://www.instagram.com/dra.julietenunes/,https://www.instagram.com/p/CsqzIyHLCRV/c/17880725174812205
23,,camilaaraiuijo,55547922278,"2023-05-26 20:42:40",0,"Dica perfeita adorei saber gente. Que legal",55547922278,17976037640258512,https://www.instagram.com/camilaaraiuijo/,https://www.instagram.com/p/CsqzIyHLCRV/c/17976037640258512
