,,Name,Date,Likes,Comment,"Profile ID","Comment ID","Profile URL","Comment URL"
1,,alexandre.velho,7474643499,"2023-05-21 16:15:09",0,"Sombrinhas e guarda chuvas de ótima qualidade",7474643499,17996060677756679,https://www.instagram.com/alexandre.velho/,https://www.instagram.com/p/CsgSMtcr2A6/c/17996060677756679
2,,alexandre.velho,7474643499,"2023-05-21 16:15:11",0,😍😍😍👏👏👏,7474643499,17973065399138716,https://www.instagram.com/alexandre.velho/,https://www.instagram.com/p/CsgSMtcr2A6/c/17973065399138716
3,,thamiire_s,46865270687,"2023-05-22 18:13:07",0,"Lindos modelos 😍",46865270687,17968711418222353,https://www.instagram.com/thamiire_s/,https://www.instagram.com/p/CsgSMtcr2A6/c/17968711418222353
4,,thamiire_s,46865270687,"2023-05-22 18:13:09",0,Adorei,46865270687,18091088320336116,https://www.instagram.com/thamiire_s/,https://www.instagram.com/p/CsgSMtcr2A6/c/18091088320336116
5,,beatriscanastra,48211177691,"2023-05-22 18:13:37",0,"Que lindo qual valor desse? 😍",48211177691,17863332482940141,https://www.instagram.com/beatriscanastra/,https://www.instagram.com/p/CsgSMtcr2A6/c/17863332482940141
6,,beatriscanastra,48211177691,"2023-05-22 18:13:38",0,😍😍,48211177691,17911782134758913,https://www.instagram.com/beatriscanastra/,https://www.instagram.com/p/CsgSMtcr2A6/c/17911782134758913
7,,haikaa_lemos,48133835350,"2023-05-22 18:14:25",0,"Maravilhosa esse guarda chuva ☔️ 😍",48133835350,17972894216147389,https://www.instagram.com/haikaa_lemos/,https://www.instagram.com/p/CsgSMtcr2A6/c/17972894216147389
8,,haikaa_lemos,48133835350,"2023-05-22 18:14:26",0,😍😍,48133835350,18211956013240971,https://www.instagram.com/haikaa_lemos/,https://www.instagram.com/p/CsgSMtcr2A6/c/18211956013240971
9,,martasousaa._,47926298881,"2023-05-22 18:15:20",0,"Perfeito modelo 😍",47926298881,18229748170206468,https://www.instagram.com/martasousaa._/,https://www.instagram.com/p/CsgSMtcr2A6/c/18229748170206468
10,,martasousaa._,47926298881,"2023-05-22 18:15:26",0,Querooo😍,47926298881,18003449677779106,https://www.instagram.com/martasousaa._/,https://www.instagram.com/p/CsgSMtcr2A6/c/18003449677779106
11,,izaalow,48730064852,"2023-05-22 18:17:45",0,"Estilo demais os modelos transparente 😮",48730064852,17915768843743443,https://www.instagram.com/izaalow/,https://www.instagram.com/p/CsgSMtcr2A6/c/17915768843743443
12,,izaalow,48730064852,"2023-05-22 18:17:48",0,🥰🤩,48730064852,17978581160329173,https://www.instagram.com/izaalow/,https://www.instagram.com/p/CsgSMtcr2A6/c/17978581160329173
13,,vendoguardachuva,4014331343,"2023-05-22 18:20:25",0,"@beatriscanastra Vou lhe encaminhar por direct! <3",4014331343,17926897799616230,https://www.instagram.com/vendoguardachuva/,https://www.instagram.com/p/CsgSMtcr2A6/c/17926897799616230
14,,jullya_ly,48541622498,"2023-05-22 23:29:23",0,"Bem lindo gostei desse modelo 😍",48541622498,18268578445176787,https://www.instagram.com/jullya_ly/,https://www.instagram.com/p/CsgSMtcr2A6/c/18268578445176787
15,,jullya_ly,48541622498,"2023-05-22 23:29:25",0,"Que legal",48541622498,18004908112630922,https://www.instagram.com/jullya_ly/,https://www.instagram.com/p/CsgSMtcr2A6/c/18004908112630922
16,,kamillamilla_,47892535518,"2023-05-22 23:30:37",0,"Cheio de estilo adorei!",47892535518,18081286186360483,https://www.instagram.com/kamillamilla_/,https://www.instagram.com/p/CsgSMtcr2A6/c/18081286186360483
17,,kamillamilla_,47892535518,"2023-05-22 23:30:45",0,🤍🤍🤍🤍,47892535518,18018629758566110,https://www.instagram.com/kamillamilla_/,https://www.instagram.com/p/CsgSMtcr2A6/c/18018629758566110
18,,maedoalvaro_,1649175585,"2023-05-22 23:32:57",0,Valor?,1649175585,18016297804591587,https://www.instagram.com/maedoalvaro_/,https://www.instagram.com/p/CsgSMtcr2A6/c/18016297804591587
19,,maedoalvaro_,1649175585,"2023-05-22 23:32:59",0,😮,1649175585,18350404801065864,https://www.instagram.com/maedoalvaro_/,https://www.instagram.com/p/CsgSMtcr2A6/c/18350404801065864
20,,ag.sintonizee,5546236393,"2023-05-22 23:35:58",0,"Estilo nesses modelos são lindos!",5546236393,17998934551860096,https://www.instagram.com/ag.sintonizee/,https://www.instagram.com/p/CsgSMtcr2A6/c/17998934551860096
21,,ag.sintonizee,5546236393,"2023-05-22 23:36:06",0,☔️☔️☔️☔️,5546236393,18023493163548594,https://www.instagram.com/ag.sintonizee/,https://www.instagram.com/p/CsgSMtcr2A6/c/18023493163548594
22,,lili_kaoliveira,48131931275,"2023-05-22 23:36:58",0,"Uma lindeza essa 🤍👏🏼",48131931275,17966053739279863,https://www.instagram.com/lili_kaoliveira/,https://www.instagram.com/p/CsgSMtcr2A6/c/17966053739279863
23,,lili_kaoliveira,48131931275,"2023-05-22 23:37:00",0,🤍☔️,48131931275,17915945063657109,https://www.instagram.com/lili_kaoliveira/,https://www.instagram.com/p/CsgSMtcr2A6/c/17915945063657109
24,,hyngredstin,570089818,"2023-05-23 11:46:45",0,"Demais lindo 🤩",570089818,17989786690870904,https://www.instagram.com/hyngredstin/,https://www.instagram.com/p/CsgSMtcr2A6/c/17989786690870904
25,,hyngredstin,570089818,"2023-05-23 11:46:46",0,😮😮😮,570089818,17872406207852954,https://www.instagram.com/hyngredstin/,https://www.instagram.com/p/CsgSMtcr2A6/c/17872406207852954
26,,cirurgias.sp,10946076061,"2023-05-23 11:47:53",0,"Qualidade sempre né 👏",10946076061,17954837669439719,https://www.instagram.com/cirurgias.sp/,https://www.instagram.com/p/CsgSMtcr2A6/c/17954837669439719
27,,cirurgias.sp,10946076061,"2023-05-23 11:47:56",0,Uauuu👏,10946076061,17907465881774046,https://www.instagram.com/cirurgias.sp/,https://www.instagram.com/p/CsgSMtcr2A6/c/17907465881774046
