,,Name,Date,Likes,Comment,"Profile ID","Comment ID","Profile URL","Comment URL"
1,,alexandre.velho,7474643499,"2023-05-19 20:24:47",0,"Só marca top",7474643499,17873457593897342,https://www.instagram.com/alexandre.velho/,https://www.instagram.com/p/CsbxtvvLMQC/c/17873457593897342
2,,alexandre.velho,7474643499,"2023-05-19 20:24:50",0,😍😍😍😍👏👏,7474643499,17916136250735942,https://www.instagram.com/alexandre.velho/,https://www.instagram.com/p/CsbxtvvLMQC/c/17916136250735942
3,,haikaa_lemos,48133835350,"2023-05-20 00:43:47",0,"Perfeitoooo lindo 😍",48133835350,17993685541938238,https://www.instagram.com/haikaa_lemos/,https://www.instagram.com/p/CsbxtvvLMQC/c/17993685541938238
4,,haikaa_lemos,48133835350,"2023-05-20 00:43:47",0,😮😮,48133835350,18007671247662969,https://www.instagram.com/haikaa_lemos/,https://www.instagram.com/p/CsbxtvvLMQC/c/18007671247662969
5,,selmathais2,54101004673,"2023-05-20 02:02:22",0,"Bem lindo e chique esse 😯😯😯",54101004673,18017298817604122,https://www.instagram.com/selmathais2/,https://www.instagram.com/p/CsbxtvvLMQC/c/18017298817604122
6,,selmathais2,54101004673,"2023-05-20 02:02:26",0,🌂👏🏼☔,54101004673,18139588642290606,https://www.instagram.com/selmathais2/,https://www.instagram.com/p/CsbxtvvLMQC/c/18139588642290606
7,,palomadelfor,54512824865,"2023-05-20 02:11:12",0,"Qualidades top 👏",54512824865,18243880609166561,https://www.instagram.com/palomadelfor/,https://www.instagram.com/p/CsbxtvvLMQC/c/18243880609166561
8,,palomadelfor,54512824865,"2023-05-20 02:11:13",0,👏👏,54512824865,17961001046524663,https://www.instagram.com/palomadelfor/,https://www.instagram.com/p/CsbxtvvLMQC/c/17961001046524663
9,,jackeelyni,54845605163,"2023-05-20 02:22:35",0,"Os melhores top ☔",54845605163,18141198970294919,https://www.instagram.com/jackeelyni/,https://www.instagram.com/p/CsbxtvvLMQC/c/18141198970294919
10,,jackeelyni,54845605163,"2023-05-20 02:22:38",0,☔🌂,54845605163,18019941547562444,https://www.instagram.com/jackeelyni/,https://www.instagram.com/p/CsbxtvvLMQC/c/18019941547562444
11,,nathyicristina,54487225819,"2023-05-20 02:40:04",0,"Nossa maravilhoso lindo esse.",54487225819,18018773968565579,https://www.instagram.com/nathyicristina/,https://www.instagram.com/p/CsbxtvvLMQC/c/18018773968565579
12,,nathyicristina,54487225819,"2023-05-20 02:40:08",0,🌂🌂,54487225819,18123126688306604,https://www.instagram.com/nathyicristina/,https://www.instagram.com/p/CsbxtvvLMQC/c/18123126688306604
13,,katyanii__,54173522073,"2023-05-20 02:42:15",0,"Demais 👏👏",54173522073,17861806592946218,https://www.instagram.com/katyanii__/,https://www.instagram.com/p/CsbxtvvLMQC/c/17861806592946218
14,,katyanii__,54173522073,"2023-05-20 02:42:16",0,👏👏👏,54173522073,17958589622363072,https://www.instagram.com/katyanii__/,https://www.instagram.com/p/CsbxtvvLMQC/c/17958589622363072
15,,gabizapi,53403993029,"2023-05-20 23:26:47",0,"Lindos e qualidade perfeita 😍",53403993029,18361550827043049,https://www.instagram.com/gabizapi/,https://www.instagram.com/p/CsbxtvvLMQC/c/18361550827043049
16,,gabizapi,53403993029,"2023-05-20 23:26:50",0,👏👏👏👏,53403993029,17964623150449258,https://www.instagram.com/gabizapi/,https://www.instagram.com/p/CsbxtvvLMQC/c/17964623150449258
