,,Name,Date,Likes,Comment,"Profile ID","Comment ID","Profile URL","Comment URL"
1,,jullya_ly,48541622498,"2023-05-19 02:39:43",0,"Lindas estampas ❤️",48541622498,18021556345558586,https://www.instagram.com/jullya_ly/,https://www.instagram.com/p/CsYq7MItnaX/c/18021556345558586
2,,jullya_ly,48541622498,"2023-05-19 02:39:48",0,"Arrasou perfeitos",48541622498,17899254257731323,https://www.instagram.com/jullya_ly/,https://www.instagram.com/p/CsYq7MItnaX/c/17899254257731323
3,,lili_kaoliveira,48131931275,"2023-05-19 02:40:52",0,"Maravilhosas arrasou",48131931275,18060384751401329,https://www.instagram.com/lili_kaoliveira/,https://www.instagram.com/p/CsYq7MItnaX/c/18060384751401329
4,,lili_kaoliveira,48131931275,"2023-05-19 02:40:55",0,💜💜,48131931275,18258104326199461,https://www.instagram.com/lili_kaoliveira/,https://www.instagram.com/p/CsYq7MItnaX/c/18258104326199461
5,,thamiire_s,46865270687,"2023-05-19 02:41:31",0,"Que amor essas estampas lindas.",46865270687,17948005145504988,https://www.instagram.com/thamiire_s/,https://www.instagram.com/p/CsYq7MItnaX/c/17948005145504988
6,,thamiire_s,46865270687,"2023-05-19 02:41:32",0,😍😍,46865270687,17876734625880375,https://www.instagram.com/thamiire_s/,https://www.instagram.com/p/CsYq7MItnaX/c/17876734625880375
7,,beatriscanastra,48211177691,"2023-05-19 02:42:14",0,🌂☔️🌂☔️,48211177691,17915456093658426,https://www.instagram.com/beatriscanastra/,https://www.instagram.com/p/CsYq7MItnaX/c/17915456093658426
8,,maedoalvaro_,1649175585,"2023-05-19 02:42:54",0,"Arrasou lindos",1649175585,17916068669739588,https://www.instagram.com/maedoalvaro_/,https://www.instagram.com/p/CsYq7MItnaX/c/17916068669739588
9,,maedoalvaro_,1649175585,"2023-05-19 02:42:58",0,☔️☔️☔️🩷,1649175585,17938173995549462,https://www.instagram.com/maedoalvaro_/,https://www.instagram.com/p/CsYq7MItnaX/c/17938173995549462
10,,feercamppos,272761441,"2023-05-19 12:08:19",0,"qual valor?",272761441,17970114296458301,https://www.instagram.com/feercamppos/,https://www.instagram.com/p/CsYq7MItnaX/c/17970114296458301
11,,feercamppos,272761441,"2023-05-19 12:08:20",0,quero,272761441,17988823915887761,https://www.instagram.com/feercamppos/,https://www.instagram.com/p/CsYq7MItnaX/c/17988823915887761
12,,vendoguardachuva,4014331343,"2023-05-19 13:46:25",0,"@feercamppos Vou lhe encaminhar por direct! <3",4014331343,17948356673505567,https://www.instagram.com/vendoguardachuva/,https://www.instagram.com/p/CsYq7MItnaX/c/17948356673505567
13,,bariatrica.bia,37772828828,"2023-05-19 16:54:25",0,"Que modelo lindo",37772828828,18246965290161912,https://www.instagram.com/bariatrica.bia/,https://www.instagram.com/p/CsYq7MItnaX/c/18246965290161912
14,,bariatrica.bia,37772828828,"2023-05-19 16:54:30",0,"Sempre arrasando",37772828828,18022627042499056,https://www.instagram.com/bariatrica.bia/,https://www.instagram.com/p/CsYq7MItnaX/c/18022627042499056
15,,aliceemanuelle2018,47008214147,"2023-05-19 17:00:57",0,"Modelo muito lindo",47008214147,18011130172719376,https://www.instagram.com/aliceemanuelle2018/,https://www.instagram.com/p/CsYq7MItnaX/c/18011130172719376
16,,aliceemanuelle2018,47008214147,"2023-05-19 17:01:00",0,"Sempre arrasa",47008214147,17979461939034955,https://www.instagram.com/aliceemanuelle2018/,https://www.instagram.com/p/CsYq7MItnaX/c/17979461939034955
17,,selmathais2,54101004673,"2023-05-19 20:19:45",0,"Estampas lindas arrasou",54101004673,18013096150615193,https://www.instagram.com/selmathais2/,https://www.instagram.com/p/CsYq7MItnaX/c/18013096150615193
18,,selmathais2,54101004673,"2023-05-19 20:19:48",0,🤩🤩🤩☔,54101004673,18008079151722742,https://www.instagram.com/selmathais2/,https://www.instagram.com/p/CsYq7MItnaX/c/18008079151722742
19,,cintiyacarvalho,53956961248,"2023-05-19 20:20:33",0,"São perfeitos e qualidade única 😍",53956961248,18258904171153358,https://www.instagram.com/cintiyacarvalho/,https://www.instagram.com/p/CsYq7MItnaX/c/18258904171153358
20,,cintiyacarvalho,53956961248,"2023-05-19 20:20:37",0,Adoroo,53956961248,17956140176548570,https://www.instagram.com/cintiyacarvalho/,https://www.instagram.com/p/CsYq7MItnaX/c/17956140176548570
21,,jackeelyni,54845605163,"2023-05-19 20:23:48",0,"QUEROOOOO 😍",54845605163,17985148718107660,https://www.instagram.com/jackeelyni/,https://www.instagram.com/p/CsYq7MItnaX/c/17985148718107660
22,,jackeelyni,54845605163,"2023-05-19 20:23:49",0,😍😍😍,54845605163,17994361696911669,https://www.instagram.com/jackeelyni/,https://www.instagram.com/p/CsYq7MItnaX/c/17994361696911669
23,,katyanii__,54173522073,"2023-05-19 20:24:53",0,"Lindas cores 😍",54173522073,17864457332931497,https://www.instagram.com/katyanii__/,https://www.instagram.com/p/CsYq7MItnaX/c/17864457332931497
24,,katyanii__,54173522073,"2023-05-19 20:24:54",0,😍😍😍😍,54173522073,17968457693230199,https://www.instagram.com/katyanii__/,https://www.instagram.com/p/CsYq7MItnaX/c/17968457693230199
25,,nathyicristina,54487225819,"2023-05-19 20:27:43",0,"Estampas mais lindas qual valores?",54487225819,17980996739283061,https://www.instagram.com/nathyicristina/,https://www.instagram.com/p/CsYq7MItnaX/c/17980996739283061
26,,nathyicristina,54487225819,"2023-05-19 20:27:45",0,Amei,54487225819,17990596780847365,https://www.instagram.com/nathyicristina/,https://www.instagram.com/p/CsYq7MItnaX/c/17990596780847365
27,,luciiannacamargo,54331676534,"2023-05-19 20:28:22",0,"Precisandooooo de uns",54331676534,17972134745350063,https://www.instagram.com/luciiannacamargo/,https://www.instagram.com/p/CsYq7MItnaX/c/17972134745350063
28,,luciiannacamargo,54331676534,"2023-05-19 20:28:31",0,"Lindos lindos",54331676534,17934574616666699,https://www.instagram.com/luciiannacamargo/,https://www.instagram.com/p/CsYq7MItnaX/c/17934574616666699
29,,juliapereiradaff,54505977796,"2023-05-19 20:32:33",0,Lindíssimos,54505977796,17871624932909425,https://www.instagram.com/juliapereiradaff/,https://www.instagram.com/p/CsYq7MItnaX/c/17871624932909425
