,,Name,Date,Likes,Comment,"Profile ID","Comment ID","Profile URL","Comment URL"
1,,fabiane.thomaz,6088090430,"2023-05-12 11:26:45",0,"Lindaaaaaaas!!! ❤️❤️",6088090430,17957720822372515,https://www.instagram.com/fabiane.thomaz/,https://www.instagram.com/p/CsJALhILb-v/c/17957720822372515
2,,jackeelyni,54845605163,"2023-05-12 18:47:20",0,"Estilo e qualidade",54845605163,18046887346442134,https://www.instagram.com/jackeelyni/,https://www.instagram.com/p/CsJALhILb-v/c/18046887346442134
3,,jackeelyni,54845605163,"2023-05-12 18:47:27",0,"Lindas 😍",54845605163,17955502313531944,https://www.instagram.com/jackeelyni/,https://www.instagram.com/p/CsJALhILb-v/c/17955502313531944
4,,cintiyacarvalho,53956961248,"2023-05-12 18:52:45",0,"Lindezas ❤️",53956961248,17869567625862949,https://www.instagram.com/cintiyacarvalho/,https://www.instagram.com/p/CsJALhILb-v/c/17869567625862949
5,,cintiyacarvalho,53956961248,"2023-05-12 18:52:47",0,💞💞,53956961248,17955232736574869,https://www.instagram.com/cintiyacarvalho/,https://www.instagram.com/p/CsJALhILb-v/c/17955232736574869
6,,nathyicristina,54487225819,"2023-05-12 19:11:20",0,"Cheio de amor 😍",54487225819,17957770997531771,https://www.instagram.com/nathyicristina/,https://www.instagram.com/p/CsJALhILb-v/c/17957770997531771
7,,nathyicristina,54487225819,"2023-05-12 19:11:30",0,"São perfeitos eu amo🌂☔",54487225819,17991285478946036,https://www.instagram.com/nathyicristina/,https://www.instagram.com/p/CsJALhILb-v/c/17991285478946036
8,,leticiamenizess,48879840358,"2023-05-13 01:10:08",0,"Coleção incrível",48879840358,17973345914121307,https://www.instagram.com/leticiamenizess/,https://www.instagram.com/p/CsJALhILb-v/c/17973345914121307
9,,leticiamenizess,48879840358,"2023-05-13 01:10:10",0,😍😍,48879840358,17993835844908060,https://www.instagram.com/leticiamenizess/,https://www.instagram.com/p/CsJALhILb-v/c/17993835844908060
10,,patricyaa_lu,53890944433,"2023-05-13 01:11:56",0,"Os melhores artigos de chuva",53890944433,17993332438928940,https://www.instagram.com/patricyaa_lu/,https://www.instagram.com/p/CsJALhILb-v/c/17993332438928940
11,,patricyaa_lu,53890944433,"2023-05-13 01:11:58",0,❤️❤️,53890944433,17911787333753460,https://www.instagram.com/patricyaa_lu/,https://www.instagram.com/p/CsJALhILb-v/c/17911787333753460
12,,talitatorres__,48528405369,"2023-05-13 01:13:30",0,"Encantada com esses modelos",48528405369,17959918829338404,https://www.instagram.com/talitatorres__/,https://www.instagram.com/p/CsJALhILb-v/c/17959918829338404
13,,talitatorres__,48528405369,"2023-05-13 01:13:32",0,❤️😍,48528405369,18259716724153508,https://www.instagram.com/talitatorres__/,https://www.instagram.com/p/CsJALhILb-v/c/18259716724153508
14,,lucianamaya_,48584545806,"2023-05-13 01:16:14",0,"Qualidade e estilo 👏",48584545806,18207922057222696,https://www.instagram.com/lucianamaya_/,https://www.instagram.com/p/CsJALhILb-v/c/18207922057222696
15,,lucianamaya_,48584545806,"2023-05-13 01:16:15",0,🔥👏,48584545806,17989255042986175,https://www.instagram.com/lucianamaya_/,https://www.instagram.com/p/CsJALhILb-v/c/17989255042986175
16,,juliaa_bezzerra,49055194485,"2023-05-13 01:19:12",0,"Com certeza o melhor presente 👏",49055194485,18021725569546881,https://www.instagram.com/juliaa_bezzerra/,https://www.instagram.com/p/CsJALhILb-v/c/18021725569546881
17,,juliaa_bezzerra,49055194485,"2023-05-13 01:19:13",0,😍😍,49055194485,18328811143075167,https://www.instagram.com/juliaa_bezzerra/,https://www.instagram.com/p/CsJALhILb-v/c/18328811143075167
18,,danieeljuni,49139884314,"2023-05-13 01:20:51",0,"Top demais",49139884314,17992604860821083,https://www.instagram.com/danieeljuni/,https://www.instagram.com/p/CsJALhILb-v/c/17992604860821083
